variant,item_id,subject,difficulty,question,answer,prediction_initial,confidence_initial,prediction_final,confidence_final,outcome,revision_action,citation_score_initial,fact_score_initial,citation_score_final,fact_score_final,hallucination,abstention,overconfident_error,unsupported_citation,misinformation_event,self_corrected
baseline,Q0297,general_science,easy,Boiling point of water at sea level (variant 4)?,100°C,100°C,0.959,100°C,0.967,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0298,general_science,easy,Humans breathe in (variant 4)?,Oxygen,Oxygen,0.839,Oxygen,0.847,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0299,general_science,easy,Which planet is known as the Red Planet (variant 4)?,Mars,Mars,0.825,Mars,0.833,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0300,general_science,easy,The process of plants making food is (variant 4)?,Photosynthesis,Digestion,0.739,Digestion,0.739,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0301,general_science,easy,Earth revolves around the (variant 5)?,Sun,Sun,0.781,Sun,0.789,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0302,general_science,easy,Boiling point of water at sea level (variant 5)?,100°C,100°C,0.99,100°C,0.98,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0303,general_science,easy,Humans breathe in (variant 5)?,Oxygen,Oxygen,0.848,Oxygen,0.856,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0304,general_science,easy,Which planet is known as the Red Planet (variant 5)?,Mars,Mercury,0.773,Mercury,0.773,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0305,general_science,easy,The process of plants making food is (variant 5)?,Photosynthesis,Photosynthesis,0.815,Photosynthesis,0.823,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0306,general_science,easy,Earth revolves around the (variant 6)?,Sun,Sun,0.722,Sun,0.73,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0307,general_science,easy,Boiling point of water at sea level (variant 6)?,100°C,100°C,0.893,100°C,0.901,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0308,general_science,easy,Humans breathe in (variant 6)?,Oxygen,Oxygen,0.88,Oxygen,0.888,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0309,general_science,easy,Which planet is known as the Red Planet (variant 6)?,Mars,Mercury,0.765,ABSTAIN,0.565,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0310,general_science,easy,The process of plants making food is (variant 6)?,Photosynthesis,Digestion,0.983,Digestion,0.983,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0311,general_science,easy,Earth revolves around the (variant 7)?,Sun,Moon,0.905,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0312,general_science,easy,Boiling point of water at sea level (variant 7)?,100°C,100°C,0.778,100°C,0.786,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0313,general_science,easy,Humans breathe in (variant 7)?,Oxygen,Carbon dioxide,0.967,Carbon dioxide,0.967,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0314,general_science,easy,Which planet is known as the Red Planet (variant 7)?,Mars,Mars,0.817,Mars,0.825,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0315,general_science,easy,The process of plants making food is (variant 7)?,Photosynthesis,Transpiration,0.929,Transpiration,0.929,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0316,general_science,easy,Earth revolves around the (variant 8)?,Sun,Mars,0.714,Mars,0.714,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0317,general_science,easy,Boiling point of water at sea level (variant 8)?,100°C,100°C,0.89,100°C,0.898,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0318,general_science,easy,Humans breathe in (variant 8)?,Oxygen,Oxygen,0.867,Oxygen,0.875,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0319,general_science,easy,Which planet is known as the Red Planet (variant 8)?,Mars,Venus,0.863,Venus,0.863,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0320,general_science,easy,The process of plants making food is (variant 8)?,Photosynthesis,Photosynthesis,0.838,Photosynthesis,0.846,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0001,mathematics,easy,What is the derivative of x^2?,2x,2x,0.879,2x,0.907,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0002,mathematics,medium,What is the integral of 1/x?,ln|x| + C,ln|x| + C,0.752,ln|x| + C,0.78,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0003,mathematics,easy,"If f(x)=3x+2, what is f(4)?",14,12,0.91,12,0.91,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
self_verifying_tutor,Q0004,mathematics,easy,What is the value of sin(pi/2)?,1,1,0.686,1,0.714,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0005,mathematics,easy,What is the solution to 2x+3=11?,4,4,0.748,4,0.776,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0006,mathematics,easy,What is the derivative of x^2 (variant 2)?,2x,ABSTAIN,0.333,ABSTAIN,0.333,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0007,mathematics,medium,What is the integral of 1/x (variant 2)?,ln|x| + C,ln|x| + C,0.788,ln|x| + C,0.816,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0008,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 2)?",14,16,0.624,14,0.634,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0009,mathematics,easy,What is the value of sin(pi/2) (variant 2)?,1,1,0.916,1,0.944,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0010,mathematics,easy,What is the solution to 2x+3=11 (variant 2)?,4,4,0.715,4,0.743,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0011,mathematics,easy,What is the derivative of x^2 (variant 3)?,2x,2x,0.775,2x,0.803,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0012,mathematics,medium,What is the integral of 1/x (variant 3)?,ln|x| + C,ln|x| + C,0.787,ln|x| + C,0.815,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0013,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 3)?",14,14,0.767,14,0.795,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0014,mathematics,easy,What is the value of sin(pi/2) (variant 3)?,1,1,0.765,1,0.793,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0015,mathematics,easy,What is the solution to 2x+3=11 (variant 3)?,4,4,0.692,4,0.72,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0016,mathematics,easy,What is the derivative of x^2 (variant 4)?,2x,2x,0.873,2x,0.901,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0017,mathematics,medium,What is the integral of 1/x (variant 4)?,ln|x| + C,ABSTAIN,0.424,ABSTAIN,0.424,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0018,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 4)?",14,14,0.795,14,0.823,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0019,mathematics,easy,What is the value of sin(pi/2) (variant 4)?,1,1,0.694,1,0.722,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0020,mathematics,easy,What is the solution to 2x+3=11 (variant 4)?,4,4,0.788,4,0.816,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0021,mathematics,easy,What is the derivative of x^2 (variant 5)?,2x,ABSTAIN,0.321,ABSTAIN,0.321,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0022,mathematics,medium,What is the integral of 1/x (variant 5)?,ln|x| + C,ln|x| + C,0.808,ln|x| + C,0.836,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0023,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 5)?",14,14,0.694,14,0.722,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0024,mathematics,easy,What is the value of sin(pi/2) (variant 5)?,1,ABSTAIN,0.446,ABSTAIN,0.446,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0025,mathematics,easy,What is the solution to 2x+3=11 (variant 5)?,4,4,0.82,4,0.848,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0026,mathematics,easy,What is the derivative of x^2 (variant 6)?,2x,2x,0.827,2x,0.855,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0027,mathematics,medium,What is the integral of 1/x (variant 6)?,ln|x| + C,ln|x| + C,0.689,ln|x| + C,0.717,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0028,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 6)?",14,12,0.908,14,0.918,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0029,mathematics,easy,What is the value of sin(pi/2) (variant 6)?,1,1,0.959,1,0.98,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0030,mathematics,easy,What is the solution to 2x+3=11 (variant 6)?,4,4,0.801,4,0.829,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0031,mathematics,easy,What is the derivative of x^2 (variant 7)?,2x,2x,0.746,2x,0.774,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0032,mathematics,medium,What is the integral of 1/x (variant 7)?,ln|x| + C,ABSTAIN,0.4,ABSTAIN,0.4,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0033,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 7)?",14,14,0.669,14,0.697,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0034,mathematics,easy,What is the value of sin(pi/2) (variant 7)?,1,1,0.678,1,0.706,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0035,mathematics,easy,What is the solution to 2x+3=11 (variant 7)?,4,4,0.697,4,0.725,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0036,mathematics,easy,What is the derivative of x^2 (variant 8)?,2x,2x,0.728,2x,0.756,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0037,mathematics,medium,What is the integral of 1/x (variant 8)?,ln|x| + C,ln|x| + C,0.827,ln|x| + C,0.855,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0038,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 8)?",14,ABSTAIN,0.463,ABSTAIN,0.463,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0039,mathematics,easy,What is the value of sin(pi/2) (variant 8)?,1,-1,0.601,1,0.611,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0040,mathematics,easy,What is the solution to 2x+3=11 (variant 8)?,4,4,0.942,4,0.97,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0041,physics,easy,What is the SI unit of force?,Newton,Newton,0.857,Newton,0.885,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0042,physics,easy,What is the speed of light in vacuum?,3×10^8 m/s,ABSTAIN,0.491,ABSTAIN,0.491,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0043,physics,easy,Ohm's law is expressed as?,V=IR,V=IR,0.68,V=IR,0.708,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0044,physics,medium,Which quantity is conserved in an isolated system?,Mass-energy,Mass-energy,0.803,Mass-energy,0.831,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0045,physics,easy,Unit of electric current?,Ampere,Ampere,0.85,Ampere,0.878,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0046,physics,easy,What is the SI unit of force (variant 2)?,Newton,Newton,0.774,Newton,0.802,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0047,physics,easy,What is the speed of light in vacuum (variant 2)?,3×10^8 m/s,3×10^8 m/s,0.683,3×10^8 m/s,0.711,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0048,physics,easy,Ohm's law is expressed as (variant 2)?,V=IR,V=IR,0.675,V=IR,0.703,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0049,physics,medium,Which quantity is conserved in an isolated system (variant 2)?,Mass-energy,ABSTAIN,0.358,ABSTAIN,0.358,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0050,physics,easy,Unit of electric current (variant 2)?,Ampere,Ampere,0.785,Ampere,0.813,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0051,physics,easy,What is the SI unit of force (variant 3)?,Newton,Joule,0.673,Newton,0.683,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0052,physics,easy,What is the speed of light in vacuum (variant 3)?,3×10^8 m/s,3×10^8 m/s,0.717,3×10^8 m/s,0.745,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0053,physics,easy,Ohm's law is expressed as (variant 3)?,V=IR,V=IR,0.823,V=IR,0.851,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0054,physics,medium,Which quantity is conserved in an isolated system (variant 3)?,Mass-energy,Mass-energy,0.672,Mass-energy,0.7,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0055,physics,easy,Unit of electric current (variant 3)?,Ampere,Ampere,0.916,Ampere,0.944,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0056,physics,easy,What is the SI unit of force (variant 4)?,Newton,Newton,0.884,Newton,0.912,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0057,physics,easy,What is the speed of light in vacuum (variant 4)?,3×10^8 m/s,3×10^8 m/s,0.781,3×10^8 m/s,0.809,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0058,physics,easy,Ohm's law is expressed as (variant 4)?,V=IR,V=IR,0.866,V=IR,0.894,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0059,physics,medium,Which quantity is conserved in an isolated system (variant 4)?,Mass-energy,Mass-energy,0.763,Mass-energy,0.791,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0060,physics,easy,Unit of electric current (variant 4)?,Ampere,Ampere,0.86,Ampere,0.888,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0061,physics,easy,What is the SI unit of force (variant 5)?,Newton,Newton,0.813,Newton,0.841,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0062,physics,easy,What is the speed of light in vacuum (variant 5)?,3×10^8 m/s,3×10^8 m/s,0.794,3×10^8 m/s,0.822,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0063,physics,easy,Ohm's law is expressed as (variant 5)?,V=IR,V=IR,0.915,V=IR,0.943,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0064,physics,medium,Which quantity is conserved in an isolated system (variant 5)?,Mass-energy,Mass-energy,0.69,Mass-energy,0.718,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0065,physics,easy,Unit of electric current (variant 5)?,Ampere,Ampere,0.901,Ampere,0.929,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0066,physics,easy,What is the SI unit of force (variant 6)?,Newton,Newton,0.755,Newton,0.783,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0067,physics,easy,What is the speed of light in vacuum (variant 6)?,3×10^8 m/s,3×10^8 m/s,0.679,3×10^8 m/s,0.707,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0068,physics,easy,Ohm's law is expressed as (variant 6)?,V=IR,V=IR,0.879,V=IR,0.907,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0069,physics,medium,Which quantity is conserved in an isolated system (variant 6)?,Mass-energy,Temperature,0.825,Mass-energy,0.835,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0070,physics,easy,Unit of electric current (variant 6)?,Ampere,Ampere,0.761,Ampere,0.789,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0071,physics,easy,What is the SI unit of force (variant 7)?,Newton,Pascal,0.911,Newton,0.92,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0072,physics,easy,What is the speed of light in vacuum (variant 7)?,3×10^8 m/s,3×10^8 m/s,0.75,3×10^8 m/s,0.778,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0073,physics,easy,Ohm's law is expressed as (variant 7)?,V=IR,V=IR,0.8,V=IR,0.828,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0074,physics,medium,Which quantity is conserved in an isolated system (variant 7)?,Mass-energy,Mass-energy,0.629,Mass-energy,0.657,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0075,physics,easy,Unit of electric current (variant 7)?,Ampere,Ampere,0.833,Ampere,0.861,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0076,physics,easy,What is the SI unit of force (variant 8)?,Newton,Watt,0.866,Watt,0.866,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
self_verifying_tutor,Q0077,physics,easy,What is the speed of light in vacuum (variant 8)?,3×10^8 m/s,3×10^8 m/s,0.678,3×10^8 m/s,0.706,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0078,physics,easy,Ohm's law is expressed as (variant 8)?,V=IR,V=IR,0.844,V=IR,0.872,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0079,physics,medium,Which quantity is conserved in an isolated system (variant 8)?,Mass-energy,Resistance,0.789,Resistance,0.789,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
self_verifying_tutor,Q0080,physics,easy,Unit of electric current (variant 8)?,Ampere,Volt,0.868,Ampere,0.878,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0081,chemistry,easy,Atomic number of oxygen?,8,7,0.805,8,0.815,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0082,chemistry,easy,pH less than 7 indicates?,Acid,Acid,0.642,Acid,0.67,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0083,chemistry,easy,Chemical symbol for sodium?,Na,Na,0.798,Na,0.826,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0084,chemistry,easy,Water is composed of which elements?,Hydrogen and oxygen,Hydrogen and oxygen,0.761,Hydrogen and oxygen,0.789,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0085,chemistry,challenge,Avogadro's number is approximately?,6.02×10^23,1.6×10^-19,0.838,1.6×10^-19,0.838,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
self_verifying_tutor,Q0086,chemistry,easy,Atomic number of oxygen (variant 2)?,8,6,0.701,6,0.701,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
self_verifying_tutor,Q0087,chemistry,easy,pH less than 7 indicates (variant 2)?,Acid,ABSTAIN,0.505,ABSTAIN,0.505,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0088,chemistry,easy,Chemical symbol for sodium (variant 2)?,Na,Sd,0.662,Na,0.672,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0089,chemistry,easy,Water is composed of which elements (variant 2)?,Hydrogen and oxygen,Hydrogen and oxygen,0.858,Hydrogen and oxygen,0.886,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0090,chemistry,challenge,Avogadro's number is approximately (variant 2)?,6.02×10^23,ABSTAIN,0.377,ABSTAIN,0.377,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0091,chemistry,easy,Atomic number of oxygen (variant 3)?,8,10,0.746,8,0.756,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0092,chemistry,easy,pH less than 7 indicates (variant 3)?,Acid,Acid,0.819,Acid,0.847,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0093,chemistry,easy,Chemical symbol for sodium (variant 3)?,Na,Na,0.671,Na,0.699,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0094,chemistry,easy,Water is composed of which elements (variant 3)?,Hydrogen and oxygen,Hydrogen and oxygen,0.801,Hydrogen and oxygen,0.829,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0095,chemistry,challenge,Avogadro's number is approximately (variant 3)?,6.02×10^23,6.02×10^23,0.882,6.02×10^23,0.91,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0096,chemistry,easy,Atomic number of oxygen (variant 4)?,8,8,0.74,8,0.768,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0097,chemistry,easy,pH less than 7 indicates (variant 4)?,Acid,Acid,0.788,Acid,0.816,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0098,chemistry,easy,Chemical symbol for sodium (variant 4)?,Na,Na,0.894,Na,0.922,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0099,chemistry,easy,Water is composed of which elements (variant 4)?,Hydrogen and oxygen,Hydrogen and oxygen,0.67,Hydrogen and oxygen,0.698,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0100,chemistry,challenge,Avogadro's number is approximately (variant 4)?,6.02×10^23,9.81,0.742,6.02×10^23,0.752,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0101,chemistry,easy,Atomic number of oxygen (variant 5)?,8,8,0.678,8,0.706,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0102,chemistry,easy,pH less than 7 indicates (variant 5)?,Acid,ABSTAIN,0.439,ABSTAIN,0.439,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0103,chemistry,easy,Chemical symbol for sodium (variant 5)?,Na,Na,0.686,Na,0.714,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0104,chemistry,easy,Water is composed of which elements (variant 5)?,Hydrogen and oxygen,Hydrogen and oxygen,0.764,Hydrogen and oxygen,0.792,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0105,chemistry,challenge,Avogadro's number is approximately (variant 5)?,6.02×10^23,6.02×10^23,0.632,6.02×10^23,0.66,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0106,chemistry,easy,Atomic number of oxygen (variant 6)?,8,8,0.61,8,0.638,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0107,chemistry,easy,pH less than 7 indicates (variant 6)?,Acid,Acid,0.768,Acid,0.796,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0108,chemistry,easy,Chemical symbol for sodium (variant 6)?,Na,Na,0.668,Na,0.696,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0109,chemistry,easy,Water is composed of which elements (variant 6)?,Hydrogen and oxygen,Hydrogen and oxygen,0.639,Hydrogen and oxygen,0.667,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0110,chemistry,challenge,Avogadro's number is approximately (variant 6)?,6.02×10^23,ABSTAIN,0.338,ABSTAIN,0.338,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0111,chemistry,easy,Atomic number of oxygen (variant 7)?,8,8,0.742,8,0.77,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0112,chemistry,easy,pH less than 7 indicates (variant 7)?,Acid,Acid,0.674,Acid,0.702,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0113,chemistry,easy,Chemical symbol for sodium (variant 7)?,Na,Na,0.774,Na,0.802,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0114,chemistry,easy,Water is composed of which elements (variant 7)?,Hydrogen and oxygen,Hydrogen and oxygen,0.803,Hydrogen and oxygen,0.831,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0115,chemistry,challenge,Avogadro's number is approximately (variant 7)?,6.02×10^23,6.02×10^23,0.88,6.02×10^23,0.908,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0116,chemistry,easy,Atomic number of oxygen (variant 8)?,8,8,0.773,8,0.801,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0117,chemistry,easy,pH less than 7 indicates (variant 8)?,Acid,Acid,0.811,Acid,0.839,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
